"Date","State","City","Summary","time","altitude","reporter","relative_location","evasive_action","disposition","report_type"
2025-04-01,"TENNESSEE","CHATTANOOGA","PRELIM INFO FROM FAA OPS: CHATTANOOGA, TN/UAS SIGHTING/1710E/CHATTANOOGA ATCT ADVISED, E145, CLT - CHA, REPORTED A UAS WHILE NE BOUND AT 500 FEET 3 SSW CHA. NO EVASIVE ACTION TAKEN. HAMILTON COUNTY SHERIFF NOTIFIED.","1710E","500 FEET","CHA","3 SSW CHA","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-01,"ARIZONA","GLENDALE","PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS SIGHTING/1439M/LUKE AFB ATCT ADVISED, F35, REPORTED UAS WHILE W BOUND AT FL180 32 W LUKE AFB. NO EVASIVE ACTION TAKEN. LEOS NOT NOTIFIED. WOC DJ/DJ","1439M",NA,NA,"32 W LUKE","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-01,"CALIFORNIA","LOS ANGELES","PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS SIGHTING/1600P/SOCAL TRACON ADVISED, B763, SDF - LAX, REPORTED UAS FROM THE 3 O'CLOCK POSITION WHILE WSW BOUND AT 5,000 FEET 20 ENE LAX. NO EVASIVE ACTION TAKEN. LAPD AIR NOTIFIED. WOC SJ/JG","1600P","000 FEET","LAX","20 ENE LAX","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-01,"CALIFORNIA","LOS ANGELES","PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS SIGHTING/1600P/SOCAL TRACON ADVISED, BOMBARDIER CL60, IAD - LAX, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE WSW BOUND AT 9,000 FEET 20 ENE LAX. NO EVASIVE ACTION TAKEN. LAPD AIR NOTIFIED.","1600P","000 FEET","LAX","20 ENE LAX","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-02,"CALIFORNIA","SANTA ANA","PRELIM INFO FROM FAA OPS: SANTA ANA, CA/UAS SIGHTING/1240P/SOCAL TRACON ADVISED, B737, SJC - SNA, REPORTED A UAS AT THE 3 O'CLOCK POSITION WHILE E BOUND AT 4,000 FEET 8 NNW SNA. NO EVASIVE MANEUVERS TAKEN. ANAHEIM PD NOTIFIED.","1240P","000 FEET","SNA","8 NNW SNA",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-03,"CALIFORNIA","ONTARIO","PRELIM INFO FROM FAA OPS: ONTARIO, CA/UAS SIGHTING/1346P/SOCAL TRACON ADVISED, GULFSTREAM GLF6, CABO SAN LUCAS, MEXICO (MMSL) - VNY, REPORTED A YELLOW UAS FROM THE 12 O'CLOCK POSITION AT 11,500 FEET WHILE W BOUND AT 11,000 FEET 12 NNW PDZ. NO EVASIVE ACTION TAKEN. RIVERSIDE SHERIFF NOTIFIED.","1346P","500 FEET","VNY","12 NNW PDZ","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
2025-04-03,"CALIFORNIA","SAN JOSE","PRELIM INFO FROM FAA OPS: SAN JOSE, CA/UAS SIGHTING/1508P/SAN JOSE ATCT ADVISED, CANADAIR CL35, AUS - SJC, REPORTED A 2 TO 3 FOOT BLACK UAS FROM THE 11 O'CLOCK POSITION WHILE WNW BOUND AT 2,700 FEET 5 ESE SJC. NO EVASIVE ACTION REPORTED. SAN JOSE PD NOTIFIED.","1508P","700 FEET","SJC","5 ESE SJC",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-03,"NORTH CAROLINA","CHARLOTTE","PRELIM INFO FROM FAA OPS: CHARLOTTE, NC/UAS SIGHTING/1838E/CHARLOTTE ATCT ADVISED, A320, ST CROIX, USVI (TISX) - CLT, REPORTED A BLACK UAS QUADCOPTER FROM THE 1 O'CLOCK POSITION WHILE N BOUND AT 5,000 FEET 8 NE CLT. NO EVASIVE ACTION REPORTED. CHARLOTTE MECKLENBURG PD NOTIFIED.","1838E","000 FEET","CLT","8 NE CLT",NA,"PD NOTIFIED","PRELIM INFO"
2025-04-03,"WASHINGTON","SPOKANE","PRELIM INFO FROM FAA OPS: SPOKANE, WA/UAS SIGHTING/LATE REPORT-1728P/SEATTLE ARTCC ADVISED, E75L, GEG - SLC, REPORTED A SMALL BLACK UAS OFF RIGHT SIDE WHILE SSE BOUND AT 13,000 FEET 16 ESE GEG. NO EVASIVE ACTION REPORTED. SPOKANE COUNTY CRIME WATCH NOTIFIED.","1728P","000 FEET","SLC","16 ESE GEG",NA,NA,"PRELIM INFO"
2025-04-04,"CALIFORNIA","BURBANK","PRELIM INFO FROM FAA OPS: BURBANK, CA/UAS SIGHTING/1040P/BURBANK ATCT ADVISED, B39M, SEA - BUR, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT 1,900 FEET 4 W BUR. NO EVASIVE ACTION TAKEN. LAPD AIR DIVISION NOTIFIED.","1040P","900 FEET","BUR","4 W BUR","NO EVASIVE ACTION TAKEN",NA,"PRELIM INFO"
